B1,B2,B3,B4,B5,水温,DO,source
2.4455,4.00475,7.7035,4.79125,5.09925,28.6,7.47,1
6.549275331146813,9.2451193770902,13.529519727446022,12.408090323027466,2.3743473977544007,17.5,7.59,0
3.975672438629714,5.873454598198799,9.008216390510013,7.602587608427701,3.2946860890293346,25.9,6.55,0
3.1055,3.43275,3.595,1.54075,1.54625,26.6,8.1,1
3.678030046147772,5.380381822755457,7.859905258417953,6.937452431668443,3.914087619475513,25.6,6.54,0
3.2512188630192838,5.1281647246714295,7.564281593436181,6.549447603190313,0.7116970902272725,17.7,7.12,0
3.1055,3.74075,6.22125,3.584,2.24475,18.3,8.42,1
2.77,3.49325,5.17625,3.63075,2.38775,20.6,8.92,1
3.3942735863041635,5.292501753283225,7.205994535705517,4.313242526878521,0.1407900202525739,17.2,9.39,0
5.50075,6.83725,9.32325,8.6275,4.63725,15.4,12.62,1
2.484600544971572,4.118695294247176,5.3522885235546624,2.656450764061621,0.4312910776002093,17.5,9.36,0
3.3121985289724662,4.854604211409525,6.508185344591279,5.740245679989217,1.0214089370082076,17.7,7.12,0
2.1815,2.99,5.2285,3.92225,2.09075,19.3,9.17,1
3.056,4.45575,7.621,5.61075,4.266,31.5,5.76,1
0.7405,2.649,6.906,5.31375,3.1165,20.6,7.0,1
2.1100349793550324,3.50962640202843,4.895768065851797,2.825997509226584,0.0003930523214942,17.4,9.0,0
2.149918759681013,3.6508697425501615,5.7481495675554966,5.42535920748688,1.0294691361882051,17.4,7.88,0
5.958583291726789,7.987830848900943,9.84735401587589,9.75684405548587,2.5602110135583027,18.4,7.21,0
0.768,2.0275,4.739,3.166,1.02375,20.4,10.5,1
3.6354492506494,5.350805540728151,7.494939978152596,6.968809999219651,2.573175824748076,17.7,7.11,0
5.74825,6.73275,9.23525,7.10675,3.1715,16.1,7.26,1
5.15975,6.257,9.03175,7.3515,1.85975,20.0,6.33,1
3.2684953490359065,5.076954191397324,7.492117841499181,6.542410642011743,0.7731868423366745,17.7,7.12,0
0.7295,2.4125,6.92525,4.607,2.11825,20.2,9.82,1
2.61875,3.91675,6.6365,5.0525,2.132,16.4,8.61,1
0.801,2.7095,6.95275,3.86175,1.53525,15.5,10.21,1
4.343,4.75825,8.31125,5.443,4.46675,23.8,12.32,1
0.03925,1.1805,4.32375,2.759,0.79825,18.8,7.78,1
2.385,3.70225,7.03525,5.00025,3.7545,20.5,8.24,1
5.223,6.488,9.75225,8.4185,2.64075,22.8,6.13,1
5.20375,6.34225,9.469,7.1975,2.31075,18.2,8.23,1
2.515995731967361,4.082097858837944,5.385683715492175,2.6410932714174,0.0011414403756336,17.2,9.01,0
2.1877959151911743,3.5848934249854687,4.874120699078099,2.8469132758985585,0.0183512706173225,17.4,9.0,0
2.425205739945814,4.0363022062460425,5.24336308152859,2.5772059024211558,0.0002040315123093,17.2,9.01,0
2.766560695510442,4.335828353089292,5.568943023036461,3.048772613440627,0.0497053239151106,16.9,9.28,0
2.1449279412901365,3.534353422390501,7.248802011571942,5.255822576794497,1.3845985503611815,23.8,5.56,0
