SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,Ë®ÎÂ,ÈÜ½âÑõ
2.2412597519675757,3.5556698075423654,7.22300358363579,5.177824439574227,0.6554873055335975,23.6,5.94
2.0484056627080163,3.3943457944677657,6.951697114851109,4.907744334327049,0.4900548055271909,23.6,5.94
1.9578711361561612,3.2560573892263776,6.787046422486536,4.77525393664225,0.7026253694462328,23.6,5.94
1.9167446662650296,3.1318190847196172,6.483966512616554,4.58798556333277,0.8711331122710224,23.6,5.94
1.9120971133969535,3.1661096327335274,6.437462228553446,4.822008573364535,1.5421617386662,22.4,4.03
2.0115598902158416,3.3137336511879454,6.616178267358438,4.888349704650733,1.5200744532786383,22.4,4.03
2.1249319082374636,3.400778734721405,6.652643488091668,4.985029935841672,1.2592135162352323,22.4,4.03
2.2350267120954674,3.4380756436755773,6.7498391253663845,5.05606336729555,1.7009227102203264,22.4,4.03
2.075486001563173,3.304312973178404,6.55066072884588,4.787657328427953,1.6909154188028523,22.4,4.03
1.9273792074820166,3.2039811194152916,6.494214070705779,4.821253654348533,2.207441612036517,22.4,4.03
1.9748737992841758,3.2566069304636436,6.535040504263863,4.804478406095905,1.1322440711866217,22.4,4.03
1.8328518399810843,3.102011094795769,6.350385879749924,4.7095533627629536,2.3089632346139695,22.4,4.03
2.18703308043689,3.4783062201138555,6.831065918262734,5.140616837480045,1.0879997050673473,22.4,4.03
2.2980121278139483,3.6158259806721436,6.911200403150213,5.245058713168701,1.364349759290299,22.4,4.03
1.8619660447095279,3.137911601591398,6.4349574421507185,4.739920300301589,2.3665077374843473,22.6,11.07
1.939541220345356,3.3141328725322405,6.7819089003762185,5.059718566665349,2.55089088347388,22.6,11.07
1.9907131291862048,3.2951613563670477,6.8077764618482535,4.984341375537649,2.2240098322927713,22.6,11.07
2.0082158474705145,3.348638598518784,6.92978744982043,5.02385132095707,2.209668990535951,22.6,11.07
2.1034996465973386,3.410612494016504,7.022621416062008,5.09976563462631,1.9604329237581983,22.6,11.07
2.0659507501715817,3.390600890385608,7.010280699880808,5.123165103066402,2.0105397916339123,22.6,11.07
2.0400043463354467,3.36248416910039,6.965880063145236,5.065346427682647,2.042903232516927,22.6,11.07
